id,name
307,Ben Kingsley
308,Chan-wook Park
309,Brian A. Miller
310,John Frankenheimer
311,Seth Rogen
312,Ross Boyask
313,Gary Trousdale
314,Julian Gilbey
315,Jonathan Prince
316,Keith Donovan
317,Stephen Sommers
318,Brian Falk
319,Jos Antonio Negret
320,Benny Boom
321,Rob Reiner
322,Sriram Raghavan
323,Stephen Norrington
324,Jack Kinney
325,Peter Howitt
326,Claude Lelouch
327,Ben Wheatley
328,Peter Chung
329,Neema Barnette
330,Paco Cabezas
331,Neill Blomkamp
332,Sally Field
333,Jorma Taccone
334,Brian Smrz
335,Takeshi Kitano
336,Sam Raimi
337,Chris Buck
338,Jim Isaac
339,Mario Van Peebles
340,Simon West
341,Kevin Macdonald
342,Jean Negulesco
343,Betty Thomas
344,John Carpenter
345,Steven C. Miller
346,Eric Hannezo
347,Brian G. Hutton
348,James Signorelli
349,William Dear
350,Wolfgang Reitherman
351,Stuart Gillard
352,J. Robert Wagoner
353,Kimo Stamboel
354,John Moore (V)
355,Kenji Misumi
356,Alastair Fothergill
357,Neten Chokling
358,Ang Lee
359,Maurice Joyce
360,Don Taylor
361,Tom Shadyac
362,Jeremy Kagan
363,William Friedkin
364,Mel Gibson
365,Noboru Iguchi
366,Jim Wynorski
367,Miguel Sapochnik
368,John Gulager
369,Janice Karman
370,Vidhu Vinod Chopra
371,Ericson Core
372,David L.G. Hughes
373,Abhinay Deo
374,H.B. Halicki
375,Joe Menendez
376,Jonathan Liebesman
377,Fritz Kiersch
378,Steven Spielberg
379,Jonathan Kaplan
380,Hal Walker
381,Tom Donnelly
382,Robert Schwentke
383,Dominic Sena
384,Gore Verbinski
385,Timur Bekmambetov
386,Xavier Koller
387,Jim Abrahams
388,Dimitri Logothetis
389,Joe Carnahan
390,Ted Kotcheff
391,Bill Murray
392,Joe Cornish
393,Len Wiseman
394,Josh Oreck
395,Mel Smith
396,Patrick Hughes
397,George Nolfi
398,William Lustig
399,Ben Affleck
400,Jan de Bont
401,Chris McKay
402,Gil Kenan
403,Chris Nahon
404,Pegi Vail
405,Byron Haskin
406,Reggie Rock Bythewood
407,Mark Waters (VIII)
408,Richard Wallace
409,B.D. Clark
410,Carl Gottlieb
411,Ron Underwood
412,Bruce Paltrow
413,Joseph H. Lewis
414,Menahem Golan
415,Sergey Bodrov
416,Martin Brest
417,John Nicolella
418,Mike Newell
419,Michael Rymer
420,David Ren
421,Daniel Alfredson
422,S. Craig Zahler
423,John Badham
424,Richard Siodmak
